acc1-1,acc1-2,acc1-3,gyro1-1,gyro1-2,gyro1-3,acc2-1,acc2-2,acc2-3,gyro2-1,gyro2-2,gyro2-3,acc3-1,acc3-2,acc3-3,gyro3-1,gyro3-2,gyro3-3,acc4-1,acc4-2,acc4-3,gyro4-1,gyro4-2,gyro4-3,acc5-1,acc5-2,acc5-3,gyro5-1,gyro5-2,gyro5-3,acc6-1,acc6-2,acc6-3,gyro6-1,gyro6-2,gyro6-3,acc7-1,acc7-2,acc7-3,gyro7-1,gyro7-2,gyro7-3,acc8-1,acc8-2,acc8-3,gyro8-1,gyro8-2,gyro8-3,acc9-1,acc9-2,acc9-3,gyro9-1,gyro9-2,gyro9-3,acc10-1,acc10-2,acc10-3,gyro10-1,gyro10-2,gyro10-3,label
-4.3,-7.7,0.8,-73.4,-63.9,47.4,-4.3,-7.7,0.8,-46.4,-31.6,-37.8,-4.3,-7.7,0.8,2.7,-3.8,-64.7,-2.2,-8.2,-3.3,2.7,-3.8,-64.7,-2.2,-8.2,-3.3,-0.7,60.0,-49.5,-5.0,-4.3,-7.4,-0.7,60.0,-49.5,-7.1,-1.6,-8.5,-0.7,60.0,-49.5,-7.1,-1.6,-8.5,-11.2,54.1,18.4,-8.5,-0.6,-8.1,-11.2,54.1,18.4,-8.5,-0.6,-8.1,-2.6,30.5,73.4,1
-3.1,-10.0,-10.8,-37.2,197.9,215.0,-3.1,-10.0,-10.8,-181.3,-106.7,-94.2,5.2,0.4,-1.8,-181.3,-106.7,-94.2,5.2,0.4,-1.8,83.9,-5.8,-16.5,2.6,-29.0,-9.3,83.9,-5.8,-16.5,2.6,-29.0,-9.3,173.5,-83.8,62.9,-3.2,3.4,-2.5,173.5,-83.8,62.9,-3.2,3.4,-2.5,-153.7,-6.7,-239.1,12.5,-16.1,-10.1,-153.7,-6.7,-239.1,12.5,-16.1,-10.1,50.4,-44.6,251.2,0
-4.1,0.0,12.9,55.2,-111.0,-50.8,-0.9,3.3,1.9,55.2,-111.0,-50.8,-0.9,3.3,1.9,2.1,-68.1,30.3,7.9,0.0,16.0,2.1,-68.1,30.3,7.9,0.0,16.0,-52.8,139.6,-3.7,-2.7,3.1,1.4,-52.8,139.6,-3.7,-2.7,3.1,1.4,48.1,-85.1,30.2,8.1,0.0,14.3,48.1,-85.1,30.2,8.1,0.0,14.3,-51.3,165.9,11.1,-3.5,2.2,3.5,-51.3,165.9,11.1,1
-2.4,4.5,0.0,-15.4,-53.2,34.4,2.4,15.2,0.1,-15.4,-53.2,34.4,2.4,15.2,0.1,-23.2,8.5,83.9,-3.7,4.3,0.1,-23.2,8.5,83.9,-3.7,4.3,0.1,-113.9,-27.3,28.6,3.5,14.6,-3.0,-113.9,-27.3,28.6,3.5,14.6,-3.0,102.4,51.3,59.6,-3.2,4.6,-0.1,102.4,51.3,59.6,-3.2,4.6,-0.1,-125.2,-3.3,7.9,3.7,13.6,-2.6,-125.2,-3.3,7.9,1
-1.7,8.6,-1.0,192.4,58.3,330.0,-1.7,8.6,-1.0,-210.4,67.5,-228.3,-26.9,-11.0,-18.2,-210.4,67.5,-228.3,-26.9,-11.0,-18.2,-167.0,42.2,218.7,18.4,-2.8,-20.5,-167.0,42.2,218.7,18.4,-2.8,-20.5,364.0,226.4,25.0,-6.3,11.1,-0.1,364.0,226.4,25.0,-6.3,11.1,-0.1,-259.9,136.5,-143.9,-18.6,-32.0,-33.2,-259.9,136.5,-143.9,-18.6,-32.0,-33.2,-31.3,-22.9,342.1,1
-7.7,7.9,-8.3,-72.4,-33.9,24.8,2.7,5.0,0.0,-72.4,-33.9,24.8,2.7,5.0,0.0,35.7,62.7,-43.5,-6.5,9.8,-9.8,35.7,62.7,-43.5,-6.5,9.8,-9.8,-62.6,-45.3,38.4,1.7,3.7,-0.1,-62.6,-45.3,38.4,1.7,3.7,-0.1,-37.9,74.0,-17.4,-3.9,4.1,-1.9,-37.9,74.0,-17.4,-3.9,4.1,-1.9,-111.3,41.8,0.5,6.6,12.8,-7.9,-111.3,41.8,0.5,1
19.0,15.5,-13.3,92.0,-386.6,34.0,19.0,15.5,-13.3,37.8,147.0,31.4,0.2,-0.4,4.0,37.8,147.0,31.4,-7.6,8.3,-23.1,37.8,147.0,31.4,-7.6,8.3,-23.1,-19.1,191.8,101.4,-1.2,0.8,3.1,-19.1,191.8,101.4,-1.2,0.8,3.1,19.2,-213.7,-109.5,14.9,7.0,-7.4,19.2,-213.7,-109.5,14.9,7.0,-7.4,-11.7,181.7,231.7,2.9,8.5,-6.5,-11.7,181.7,231.7,0
1.5,3.1,0.0,-29.6,-79.2,-54.4,1.5,3.1,0.0,-164.3,-642.7,-263.8,0.0,0.0,16.6,-164.3,-642.7,-263.8,0.0,0.0,16.6,-12.6,-106.9,-54.2,2.2,2.7,0.0,-12.6,-106.9,-54.2,2.2,2.7,0.0,-72.8,-355.2,-104.2,0.0,0.0,15.8,-72.8,-355.2,-104.2,0.0,0.0,15.8,-41.7,-169.3,-57.6,6.2,2.5,4.4,-41.7,-169.3,-57.6,6.2,2.5,4.4,-75.3,-250.1,-56.6,1
11.3,1.5,0.0,6.5,25.2,23.8,2.7,5.9,0.0,6.5,25.2,23.8,2.7,5.9,0.0,46.9,-67.9,121.9,2.7,5.9,0.0,46.9,-67.9,121.9,7.2,3.7,0.0,46.9,-67.9,121.9,7.2,3.7,0.0,-138.3,113.5,-115.3,11.0,1.5,0.0,-138.3,113.5,-115.3,11.0,1.5,0.0,8.8,31.7,27.8,11.0,1.5,0.0,8.8,31.7,27.8,0.0,6.2,0.0,8.8,31.7,27.8,0
7.5,-20.2,-11.9,-106.3,8.9,-273.2,7.5,-20.2,-11.9,43.5,-104.5,310.7,1.6,0.5,-10.0,43.5,-104.5,310.7,1.6,0.5,-10.0,166.6,121.2,-266.5,-5.2,-2.7,-3.0,166.6,121.2,-266.5,-5.2,-2.7,-3.0,-102.2,73.8,46.9,-6.1,-15.8,-17.3,-102.2,73.8,46.9,-6.1,-15.8,-17.3,-126.8,-30.5,109.9,3.8,3.4,-1.9,-126.8,-30.5,109.9,3.8,3.4,-1.9,65.3,-33.7,-104.8,0
