11,6.9,-16.4,-99.5,206.9,93.5,11,6.9,-16.4,-30.1,-266.4,-35.6,2.1,4.1,-0.1,-30.1,-266.4,-35.6,9.7,5,0.3,-30.1,-266.4,-35.6,9.7,5,0.3,-44.7,295.2,43.1,9.7,5,0.3,23,-84,-300.9,15.8,12.3,-5,23,-84,-300.9,0.7,0.9,-1.6,23,-84,-300.9,0.7,0.9,-1.6,-29.7,-14.3,160,23,8.1,-11.2,-29.7,-14.3,160,0
14.2,1.5,1.5,-75.4,34.0,-203.1,14.2,1.5,1.5,-75.4,34.0,-203.1,7.0,4.0,0.0,-75.4,34.0,-203.1,7.0,4.0,0.0,32.9,-19.0,146.4,9.8,3.8,0.0,32.9,-19.0,146.4,9.8,3.8,0.0,-100.3,73.1,-117.6,9.8,3.8,0.0,-100.3,73.1,-117.6,13.6,2.4,0.0,-100.3,73.1,-117.6,13.6,2.4,0.0,31.0,21.8,106.8,-2.8,6.9,0.0,31.0,21.8,106.8,0
15.8,6.0,-17.5,-108.2,-12.4,267.5,15.8,6.0,-17.5,222.9,210.0,-157.7,-14.7,2.1,-7.9,222.9,210.0,-157.7,-14.7,2.1,-7.9,-219.9,42.9,17.2,11.0,-31.1,-30.3,-219.9,42.9,17.2,11.0,-31.1,-30.3,265.8,48.2,255.6,-1.8,8.1,0.6,265.8,48.2,255.6,-1.8,8.1,0.6,-205.6,23.3,-226.7,-16.5,-20.2,-25.4,-205.6,23.3,-226.7,-16.5,-20.2,-25.4,-30.1,-21.3,313.6,1
-9.5,2.8,-6.1,-40.2,-134.4,-9.4,-6.3,-4,-1.7,-40.2,-134.4,-9.4,-6.3,-4,-1.7,-44.5,112.8,-80.8,0.9,-4.2,-10.9,-44.5,112.8,-80.8,0.9,-4.2,-10.9,-39.7,101.6,31,-8,3.8,-9.6,-39.7,101.6,31,-8,3.8,-9.6,-54.7,-25.5,98.8,-10.1,1.7,-5.4,-54.7,-25.5,98.8,-5.4,-5.7,-1.3,-54.7,-25.5,98.8,-5.4,-5.7,-1.3,-54,-117.1,-0.8,1
-2.4,0.1,7.5,-82.0,-7.2,-23.3,-2.4,0.1,7.5,11.0,-1.6,7.2,-0.1,2.2,-20.4,11.0,-1.6,7.2,-0.1,2.2,-20.4,-31.2,55.6,-30.2,-3.2,1.8,8.1,-31.2,55.6,-30.2,-3.2,1.8,8.1,-29.8,-17.7,-33.5,1.6,0.0,-20.4,-29.8,-17.7,-33.5,1.6,0.0,-20.4,-12.1,132.0,-21.5,-2.6,0.1,9.8,-12.1,132.0,-21.5,-2.6,0.1,9.8,-25.3,-10.6,18.1,0
-2.9,15.2,-14.1,21.2,183.9,318.7,-2.9,15.2,-14.1,-109.6,-206.6,-493.7,6.8,9.4,-5.9,-109.6,-206.6,-493.7,6.8,9.4,-5.9,160.8,-54.8,-10.9,-5.2,-34.4,-39.4,160.8,-54.8,-10.9,-5.2,-34.4,-39.4,-40.2,125.0,300.4,-11.6,9.9,-24.3,-40.2,125.0,300.4,-11.6,9.9,-24.3,-155.0,-359.8,-276.3,5.0,14.0,-0.8,-155.0,-359.8,-276.3,5.0,14.0,-0.8,187.0,-56.1,-89.1,0
2.5,7.8,-10.7,25.8,-61.3,357.8,2.5,7.8,-10.7,220.5,176.2,-236.7,-8.6,2.7,-1.0,220.5,176.2,-236.7,-8.6,2.7,-1.0,-196.1,108.2,-129.9,7.7,-26.0,-29.1,-196.1,108.2,-129.9,7.7,-26.0,-29.1,9.1,-119.2,296.3,1.6,7.5,-5.4,9.1,-119.2,296.3,1.6,7.5,-5.4,139.8,235.7,-399.3,-8.4,-1.5,-1.9,139.8,235.7,-399.3,-8.4,-1.5,-1.9,-179.3,124.2,73.0,0
12.3,-17.8,-18.1,-169.7,134.9,128.7,12.3,-17.8,-18.1,297.8,57.5,26.9,-7.7,0.1,-0.6,297.8,57.5,26.9,-7.7,0.1,-0.6,-156.6,112.4,-57.4,6.4,-29.0,-14.7,-156.6,112.4,-57.4,6.4,-29.0,-14.7,252.1,-117.6,197.8,-2.1,3.6,-0.2,252.1,-117.6,197.8,-2.1,3.6,-0.2,-114.3,133.0,-194.2,-12.1,-28.6,-8.5,-114.3,133.0,-194.2,-12.1,-28.6,-8.5,24.4,-43.5,290.6,1
20.9,8.3,-21.4,-33.6,-256.6,126.5,20.9,8.3,-21.4,80.9,189.4,138.3,-1.7,21.3,11.1,80.9,189.4,138.3,-1.7,21.3,11.1,-182.4,-103.0,-182.7,-1.7,1.4,-11.1,-182.4,-103.0,-182.7,-1.7,1.4,-11.1,-27.1,59.3,209.1,31.9,22.1,4.0,-27.1,59.3,209.1,31.9,22.1,4.0,-70.2,254.5,-222.6,-6.0,2.2,-4.8,-70.2,254.5,-222.6,-6.0,2.2,-4.8,-153.0,-103.1,221.8,1
0.0,0.0,11.3,180.4,396.0,33.8,0.0,0.0,11.3,-4.4,-30.7,-35.6,2.2,2.7,7.9,-4.4,-30.7,-35.6,2.2,2.7,7.9,-39.8,-189.0,-5.6,2.2,2.7,7.9,-39.8,-189.0,-5.6,0.0,3.8,7.5,-39.8,-189.0,-5.6,0.0,3.8,7.5,-122.9,-333.5,-9.1,0.0,0.0,9.8,-122.9,-333.5,-9.1,0.0,0.0,9.8,-6.2,-41.0,-35.2,2.1,0.0,11.0,-6.2,-41.0,-35.2,1
